Date,Open,High,Low,Close,Volume,Market Cap
28-Nov-17,347.66,375.42,346.12,371.24,"127,136,000","943,652,000"
27-Nov-17,340.18,347.51,332.85,347.51,"90,891,200","920,947,000"
26-Nov-17,344.83,346.8,333.71,340.14,"81,416,400","931,073,000"
25-Nov-17,348.59,359.86,336.84,344.7,"120,059,000","938,711,000"
24-Nov-17,310.44,351.5,301.56,346.36,"153,182,000","833,750,000"
23-Nov-17,319.45,320.54,303.16,311.55,"102,568,000","855,647,000"
22-Nov-17,290.89,321.28,290.89,319.73,"139,325,000","777,089,000"
21-Nov-17,301.87,307.82,281.85,290.64,"82,637,900","804,205,000"
20-Nov-17,299.32,304.26,296.36,302.17,"55,245,200","795,282,000"
19-Nov-17,298.22,302.59,294.51,299.33,"53,157,100","790,267,000"
18-Nov-17,290.83,304.79,287.2,298.15,"61,087,000","768,597,000"
17-Nov-17,293.39,294.76,283.98,291.19,"56,387,900","773,268,000"
16-Nov-17,290.25,320.95,288.5,294.91,"173,976,000","762,905,000"
15-Nov-17,271.17,297.92,271.17,290.56,"89,937,200","710,792,000"
14-Nov-17,265.58,275.89,263.64,271.44,"52,265,100","694,229,000"
13-Nov-17,298.73,298.73,258.33,265.45,"115,940,000","778,787,000"
12-Nov-17,253.63,288.67,231.68,288.67,"119,639,000","659,346,000"
11-Nov-17,238.16,269.72,236.25,253.6,"68,016,100","617,454,000"
10-Nov-17,261.95,272.76,231.58,237.88,"78,740,400","677,262,000"
9-Nov-17,250.55,270.18,244.14,262,"86,573,400","645,990,000"
8-Nov-17,240.13,252.35,238.26,250.6,"60,804,200","617,406,000"
7-Nov-17,228.75,245.02,228.27,240.87,"55,446,200","586,502,000"
6-Nov-17,225.65,236.34,222.34,228.69,"47,873,100","576,941,000"
5-Nov-17,230.32,232.77,224.34,225.35,"38,159,100","587,210,000"
4-Nov-17,232.63,234.51,224.81,230.39,"36,530,200","591,459,000"
3-Nov-17,217.88,240.39,216.45,232.63,"48,622,200","552,362,000"
2-Nov-17,222.91,224.15,212.09,218.16,"47,381,200","563,565,000"
1-Nov-17,233.93,233.93,220.32,222.41,"47,917,100","589,719,000"
31-Oct-17,239.86,239.93,231.72,233.01,"38,363,600","602,974,000"
30-Oct-17,233.63,244.42,229,241.22,"50,794,000","585,624,000"
29-Oct-17,231.63,238.78,224.64,234.33,"59,020,900","578,982,000"
28-Oct-17,243.72,246.68,231.06,231.07,"45,309,100","607,479,000"
27-Oct-17,233.33,255.91,227.84,244.52,"131,517,000","579,905,000"
26-Oct-17,217.36,235.65,217.36,233.67,"41,638,100","538,633,000"
25-Oct-17,215.9,227.99,208.75,217.69,"44,717,900","533,463,000"
24-Oct-17,206.59,227.38,205.07,216.04,"37,788,300","509,003,000"
23-Oct-17,213.41,213.42,201.15,206.52,"26,665,700","524,261,000"
22-Oct-17,212.82,219.28,208.3,213.73,"26,263,000","521,286,000"
21-Oct-17,222.05,223.39,208.83,212.46,"37,115,000","542,326,000"
20-Oct-17,230.2,234.22,222.52,222.52,"29,093,800","560,579,000"
19-Oct-17,229.39,237.61,224.75,230.07,"30,300,100","556,979,000"
18-Oct-17,231.15,239.31,217.17,229.3,"29,137,800","559,570,000"
17-Oct-17,233.11,250.28,227.69,231.28,"60,696,400","562,642,000"
16-Oct-17,231.96,235.96,230.45,233.01,"22,198,300","558,212,000"
15-Oct-17,240.66,240.66,228.25,232.63,"25,648,400","577,433,000"
14-Oct-17,240.05,242.13,238.07,240.89,"21,199,600","574,275,000"
13-Oct-17,227.05,251,222.6,240.05,"62,551,500","541,560,000"
12-Oct-17,236.44,236.99,227,227,"39,391,300","562,261,000"
11-Oct-17,235.32,240.14,231.64,236.13,"20,522,300","557,915,000"
10-Oct-17,229.71,242.36,226.36,235.66,"27,876,900","542,934,000"
9-Oct-17,241.46,242.47,226.57,229.49,"33,586,100","569,009,000"
8-Oct-17,253.52,256.2,240.55,241.06,"30,469,500","595,599,000"
7-Oct-17,257.25,257.56,246.53,253.98,"30,163,700","602,523,000"
6-Oct-17,254.85,272.76,253.32,257.61,"49,397,500","595,099,000"
5-Oct-17,237.64,265.84,227.9,254.82,"48,244,700","553,211,000"
4-Oct-17,253,253.14,237.34,237.91,"22,195,500","587,108,000"
3-Oct-17,258.16,260,238.33,252.94,"36,278,200","597,264,000"
2-Oct-17,264.51,273.77,254.74,257.6,"52,062,000","610,037,000"
1-Oct-17,277.35,279.68,263.94,263.94,"33,546,100","637,677,000"
30-Sep-17,289.96,292.6,275.43,277.53,"37,283,500","664,608,000"
29-Sep-17,311.49,311.49,272.38,290.12,"71,232,100","711,727,000"
28-Sep-17,285.65,413.06,281.97,310.6,"296,921,000","650,661,000"
27-Sep-17,231.26,296.87,229.84,285.36,"130,957,000","525,065,000"
26-Sep-17,230.7,234.59,228.74,231.47,"20,525,600","522,161,000"
25-Sep-17,205.65,233.6,205.41,230.77,"32,460,800","463,963,000"
24-Sep-17,204.02,207.69,199.5,205.63,"15,176,600","458,828,000"
23-Sep-17,195.5,215.64,192.29,204.21,"29,531,600","438,281,000"
22-Sep-17,175.53,203.67,174.99,195.84,"43,671,100","392,222,000"
21-Sep-17,187.25,190.78,174.86,175.65,"17,620,100","417,102,000"
20-Sep-17,186.99,192.84,183.26,187.86,"12,166,600","415,166,000"
19-Sep-17,193.42,195.95,182.81,188.3,"19,791,200","428,072,000"
18-Sep-17,174.01,193.16,174.01,193.16,"27,678,900","383,846,000"
17-Sep-17,172.3,177.4,164.81,174.18,"17,358,900","378,861,000"
16-Sep-17,181.1,184.53,165.55,172.46,"22,550,100","396,908,000"
15-Sep-17,159.08,183.41,138.69,181.06,"45,620,000","347,512,000"
14-Sep-17,197.68,204.79,158.83,158.88,"35,524,600","430,379,000"
13-Sep-17,207.34,208.14,183.33,197.22,"32,634,000","449,957,000"
12-Sep-17,207.9,221.41,203.27,207.77,"26,344,600","449,686,000"
11-Sep-17,212.19,216.16,205.6,208.77,"22,339,400","457,445,000"
10-Sep-17,213.3,220.22,195.84,212.91,"26,701,400","458,304,000"
9-Sep-17,213.95,215.73,204.87,213.79,"24,960,900","458,172,000"
8-Sep-17,247.4,247.4,206.16,213.99,"30,849,900","528,046,000"
